place_id,reviewTags,count
55,altitude,1
55,clouds,1
55,march,1
55,range,1
55,ropeway,1
55,sati,1
55,shaktipeeth,1
55,snow,1
55,trek,1
55,trolley,1
56,0,5
56,birds,1
56,boating,1
56,kayaking,1
56,life,1
56,peaceful,1
57,bungalow,1
57,environmentalist,1
57,furniture,1
57,jungle,1
57,letters,1
57,national park,1
57,property,1
57,residence,1
57,sister,1
57,tiger,1
58,1929,1
58,cable car,1
58,chanda and munda,1
58,har ki pauri,1
58,manasadevi temple,1
58,mata,1
58,monkeys,1
58,ropeway,1
58,sumbha and nisumbha,1
58,ticket,1
59,ancient,1
59,border,1
59,caves,1
59,epic,1
59,lord ganesha,1
59,mahabharata,1
59,maharishi,1
59,narrated,1
59,saint,1
59,written,1
60,1814,1
60,army,1
60,battle,1
60,beautiful,1
60,bike,1
60,bravery,1
60,forest,1
60,fought,1
60,honour,1
60,peaceful,1
61,0,7
61,birds,1
61,gate,1
61,safari,1
62,beautiful,1
62,chair,1
62,forest,1
62,horse,1
62,lush,1
62,meadow,1
62,moderate,1
62,mule,1
62,skiing,1
62,trek,1
63,0,8
63,beauty,1
63,nature,1
64,0,7
64,adventures,1
64,experience,1
64,rafting,1
65,har ki pauri,1
65,maa chandi devi temple,1
65,manasa,1
65,mountain chain,1
65,ropeway,1
65,stairs,1
65,ticket,1
65,trek,1
65,trolley,1
65,vasuki,1
66,confluence,1
66,divine,1
66,ghat,1
66,hindu,1
66,holy place,1
66,meeting,1
66,nagar panchayat,1
66,penance,1
66,ravan,1
66,spiritual,1
67,adventure,1
67,beautiful,1
67,height,1
67,pandavas,1
67,rock climbing,1
67,stairs,1
67,sunset,1
67,trek,1
67,valley,1
67,weather,1
68,0,2
68,apple,1
68,beautiful,1
68,ganga,1
68,home,1
68,summer,1
68,village,1
68,wooden,1
68,worship,1
69,beautiful,1
69,boating,1
69,car,1
69,family,1
69,hills,1
69,picnic,1
69,summer,1
69,swimming,1
69,trip,1
69,water fall,1
70,dance,1
70,enjoyment,1
70,fee,1
70,go cart,1
70,money,1
70,swings,1
70,tourists,1
70,waste,1
70,water rides,1
70,well,1
71,beautiful,1
71,clouds,1
71,horse riding,1
71,nature,1
71,photos,1
71,range,1
71,snow,1
71,sunrise,1
71,trek,1
71,walk,1
72,clouds,1
72,fog,1
72,maggi,1
72,morning,1
72,naked eye,1
72,range,1
72,snow,1
72,telescope,1
72,visibility,1
72,weather,1
73,average,1
73,beautiful,1
73,dung,1
73,horse riding,1
73,mountain,1
73,photoshoot,1
73,pictures,1
73,selfie,1
73,smell,1
73,stables,1
74,beautiful,1
74,bridge,1
74,colours,1
74,feel,1
74,ganga,1
74,hindu texts,1
74,holy,1
74,meditation,1
74,narada,1
74,nature,1
75,beautiful,1
75,caves,1
75,distance,1
75,jungle,1
75,lord shiva,1
75,peaceful,1
75,season,1
75,temple,1
75,trek,1
75,walk,1
76,altitude,1
76,beautiful,1
76,bird's eye view,1
76,climb,1
76,clouds,1
76,hill station,1
76,mango,1
76,snow,1
76,trek,1
76,water bottle,1
77,beautiful,1
77,bells,1
77,blessed,1
77,divine,1
77,garden,1
77,goddess durga,1
77,monkeys,1
77,number,1
77,story,1
77,wish,1
78,beautiful,1
78,fee,1
78,mall,1
78,money,1
78,photos,1
78,piranha,1
78,tanks,1
78,ticket,1
78,varieties,1
78,waste,1
79,asura,1
79,churned,1
79,halahala,1
79,march,1
79,nara-narayana,1
79,poison,1
79,ram jhula,1
79,samudra manthan,1
79,share taxi,1
79,throat,1
80,0,1
80,animals,1
80,beautiful,1
80,jungle,1
80,litter,1
80,mountain,1
80,pine,1
80,safari,1
80,trek,1
80,walking,1
81,0,10
82,beautiful,1
82,clouds,1
82,lake,1
82,mango,1
82,mind,1
82,nature,1
82,pictures,1
82,season,1
82,shape,1
82,weather,1
83,0,9
83,peaceful,1
84,2006,1
84,boating,1
84,embankment dam,1
84,engineering,1
84,ganga,1
84,hydropower,1
84,jet ski,1
84,pumped-storage hydroelectricity,1
84,reservoir,1
84,water supply,1
85,bath,1
85,climb,1
85,cold,1
85,dip,1
85,foreigners,1
85,maggi,1
85,shree neelkanth mahadev temple,1
85,towel,1
85,trek,1
85,water fall,1
86,0,10
87,0,10
88,beautiful,1
88,darjeeling,1
88,factory,1
88,green tea,1
88,nature,1
88,peaceful,1
88,pine,1
88,plantation,1
88,waste,1
88,weather,1
89,beauty,1
89,birds,1
89,bridge,1
89,evening,1
89,irrigation,1
89,morning,1
89,sound,1
89,sunset,1
89,vehicles,1
89,walk,1
90,cultural heritage,1
90,fee,1
90,herbs,1
90,history,1
90,information,1
90,know,1
90,lifestyle,1
90,region,1
90,tribes,1
90,utensils,1
91,altitude,1
91,butterflies,1
91,canteen,1
91,domes,1
91,herbs,1
91,insects,1
91,knowledge,1
91,medicinal plants,1
91,mountains,1
91,museum,1
92,area,1
92,book,1
92,cottage,1
92,experience,1
92,feel,1
92,jungle,1
92,peace,1
92,property,1
92,sky,1
92,tiger,1
93,art,1
93,caves,1
93,fee,1
93,foreigners,1
93,history,1
93,photos,1
93,songs,1
93,structures,1
